,0,0,0,0
0,https://www.zerozero.pt/jogo.php?id=7642938,2020-09-18,FC Famalicão,Benfica
1,https://www.zerozero.pt/jogo.php?id=7642944,2020-09-18,V. Guimarães,Belenenses SAD
2,https://www.zerozero.pt/jogo.php?id=7642940,2020-09-19,Nacional,Boavista
3,https://www.zerozero.pt/jogo.php?id=7642948,2020-09-19,FC Porto,SC Braga
4,https://www.zerozero.pt/jogo.php?id=7642942,2020-09-20,Santa Clara,Marítimo
5,https://www.zerozero.pt/jogo.php?id=7642946,2020-09-20,Moreirense,Farense
6,https://www.zerozero.pt/jogo.php?id=7642954,2020-09-20,CD Tondela,Rio Ave
7,https://www.zerozero.pt/jogo.php?id=7642950,2020-09-21,Portimonense,Paços de Ferreira
8,https://www.zerozero.pt/jogo.php?id=7643020,2020-09-25,SC Braga,Santa Clara
9,https://www.zerozero.pt/jogo.php?id=7643022,2020-09-26,Marítimo,CD Tondela
10,https://www.zerozero.pt/jogo.php?id=7643016,2020-09-26,Benfica,Moreirense
11,https://www.zerozero.pt/jogo.php?id=7643018,2020-09-26,Boavista,FC Porto
12,https://www.zerozero.pt/jogo.php?id=7643024,2020-09-27,Farense,Nacional
13,https://www.zerozero.pt/jogo.php?id=7643010,2020-09-27,Gil Vicente,Portimonense
14,https://www.zerozero.pt/jogo.php?id=7643012,2020-09-27,Paços de Ferreira,Sporting
15,https://www.zerozero.pt/jogo.php?id=7643026,2020-09-27,Rio Ave,V. Guimarães
16,https://www.zerozero.pt/jogo.php?id=7643014,2020-09-28,Belenenses SAD,FC Famalicão
17,https://www.zerozero.pt/jogo.php?id=7643074,2020-10-02,Moreirense,Boavista
18,https://www.zerozero.pt/jogo.php?id=7643072,2020-10-02,V. Guimarães,Paços de Ferreira
19,https://www.zerozero.pt/jogo.php?id=7643070,2020-10-03,Santa Clara,Gil Vicente
20,https://www.zerozero.pt/jogo.php?id=7643076,2020-10-03,FC Porto,Marítimo
21,https://www.zerozero.pt/jogo.php?id=7643080,2020-10-03,CD Tondela,SC Braga
22,https://www.zerozero.pt/jogo.php?id=7643066,2020-10-04,Nacional,Belenenses SAD
23,https://www.zerozero.pt/jogo.php?id=7643064,2020-10-04,FC Famalicão,Rio Ave
24,https://www.zerozero.pt/jogo.php?id=7643068,2020-10-04,Benfica,Farense
25,https://www.zerozero.pt/jogo.php?id=7643078,2020-10-04,Portimonense,Sporting
26,https://www.zerozero.pt/jogo.php?id=7643092,2020-10-17,Marítimo,Portimonense
27,https://www.zerozero.pt/jogo.php?id=7643082,2020-10-17,Gil Vicente,CD Tondela
28,https://www.zerozero.pt/jogo.php?id=7643090,2020-10-17,SC Braga,Nacional
29,https://www.zerozero.pt/jogo.php?id=7643098,2020-10-17,Sporting,FC Porto
30,https://www.zerozero.pt/jogo.php?id=7643084,2020-10-18,Paços de Ferreira,Santa Clara
31,https://www.zerozero.pt/jogo.php?id=7643086,2020-10-18,Belenenses SAD,Moreirense
32,https://www.zerozero.pt/jogo.php?id=7643094,2020-10-18,Farense,FC Famalicão
33,https://www.zerozero.pt/jogo.php?id=7643096,2020-10-18,Rio Ave,Benfica
34,https://www.zerozero.pt/jogo.php?id=7643088,2020-10-19,Boavista,V. Guimarães
35,https://www.zerozero.pt/jogo.php?id=7643044,2020-10-23,CD Tondela,Portimonense
36,https://www.zerozero.pt/jogo.php?id=7643030,2020-10-24,Nacional,Paços de Ferreira
37,https://www.zerozero.pt/jogo.php?id=7643034,2020-10-24,Santa Clara,Sporting
38,https://www.zerozero.pt/jogo.php?id=7643040,2020-10-24,FC Porto,Gil Vicente
39,https://www.zerozero.pt/jogo.php?id=7643042,2020-10-25,Farense,Rio Ave
40,https://www.zerozero.pt/jogo.php?id=7643038,2020-10-25,Moreirense,Marítimo
41,https://www.zerozero.pt/jogo.php?id=7643028,2020-10-25,FC Famalicão,Boavista
42,https://www.zerozero.pt/jogo.php?id=7643036,2020-10-25,V. Guimarães,SC Braga
43,https://www.zerozero.pt/jogo.php?id=7643032,2020-10-26,Benfica,Belenenses SAD
44,https://www.zerozero.pt/jogo.php?id=7642952,2020-10-28,Sporting,Gil Vicente
45,https://www.zerozero.pt/jogo.php?id=7642796,2020-10-30,Paços de Ferreira,FC Porto
46,https://www.zerozero.pt/jogo.php?id=7642798,2020-10-31,Belenenses SAD,Farense
47,https://www.zerozero.pt/jogo.php?id=7642806,2020-10-31,Rio Ave,Moreirense
48,https://www.zerozero.pt/jogo.php?id=7642804,2020-10-31,Marítimo,Nacional
49,https://www.zerozero.pt/jogo.php?id=7642808,2020-11-01,Portimonense,Santa Clara
50,https://www.zerozero.pt/jogo.php?id=7642794,2020-11-01,Gil Vicente,V. Guimarães
51,https://www.zerozero.pt/jogo.php?id=7642810,2020-11-01,Sporting,CD Tondela
52,https://www.zerozero.pt/jogo.php?id=7642802,2020-11-02,SC Braga,FC Famalicão
53,https://www.zerozero.pt/jogo.php?id=7642800,2020-11-02,Boavista,Benfica
54,https://www.zerozero.pt/jogo.php?id=7642834,2020-11-06,Belenenses SAD,Rio Ave
55,https://www.zerozero.pt/jogo.php?id=7642846,2020-11-07,CD Tondela,Santa Clara
56,https://www.zerozero.pt/jogo.php?id=7642830,2020-11-07,FC Famalicão,Marítimo
57,https://www.zerozero.pt/jogo.php?id=7642838,2020-11-07,V. Guimarães,Sporting
58,https://www.zerozero.pt/jogo.php?id=7642832,2020-11-08,Nacional,Gil Vicente
59,https://www.zerozero.pt/jogo.php?id=7642844,2020-11-08,Farense,Boavista
60,https://www.zerozero.pt/jogo.php?id=7642842,2020-11-08,FC Porto,Portimonense
61,https://www.zerozero.pt/jogo.php?id=7642836,2020-11-08,Benfica,SC Braga
62,https://www.zerozero.pt/jogo.php?id=7642868,2020-11-27,Paços de Ferreira,FC Famalicão
63,https://www.zerozero.pt/jogo.php?id=7642882,2020-11-27,CD Tondela,V. Guimarães
64,https://www.zerozero.pt/jogo.php?id=7642874,2020-11-28,Santa Clara,FC Porto
65,https://www.zerozero.pt/jogo.php?id=7642880,2020-11-28,Sporting,Moreirense
66,https://www.zerozero.pt/jogo.php?id=7642866,2020-11-29,Gil Vicente,Rio Ave
67,https://www.zerozero.pt/jogo.php?id=7642878,2020-11-29,Portimonense,Nacional
68,https://www.zerozero.pt/jogo.php?id=7642870,2020-11-29,Boavista,Belenenses SAD
69,https://www.zerozero.pt/jogo.php?id=7642872,2020-11-29,SC Braga,Farense
70,https://www.zerozero.pt/jogo.php?id=7642876,2020-11-30,Marítimo,Benfica
71,https://www.zerozero.pt/jogo.php?id=7642840,2020-12-01,Moreirense,Paços de Ferreira
72,https://www.zerozero.pt/jogo.php?id=7642930,2020-12-05,Moreirense,Gil Vicente
73,https://www.zerozero.pt/jogo.php?id=7642928,2020-12-05,V. Guimarães,Portimonense
74,https://www.zerozero.pt/jogo.php?id=7642920,2020-12-05,FC Famalicão,Sporting
75,https://www.zerozero.pt/jogo.php?id=7642932,2020-12-05,FC Porto,CD Tondela
76,https://www.zerozero.pt/jogo.php?id=7642922,2020-12-06,Nacional,Santa Clara
77,https://www.zerozero.pt/jogo.php?id=7642936,2020-12-06,Rio Ave,Boavista
78,https://www.zerozero.pt/jogo.php?id=7642924,2020-12-06,Belenenses SAD,SC Braga
79,https://www.zerozero.pt/jogo.php?id=7642926,2020-12-06,Benfica,Paços de Ferreira
80,https://www.zerozero.pt/jogo.php?id=7642934,2020-12-07,Farense,Marítimo
81,https://www.zerozero.pt/jogo.php?id=7642986,2020-12-18,Portimonense,FC Famalicão
82,https://www.zerozero.pt/jogo.php?id=7642982,2020-12-19,Marítimo,Belenenses SAD
83,https://www.zerozero.pt/jogo.php?id=7642990,2020-12-19,CD Tondela,Moreirense
84,https://www.zerozero.pt/jogo.php?id=7642988,2020-12-19,Sporting,Farense
85,https://www.zerozero.pt/jogo.php?id=7642976,2020-12-20,Paços de Ferreira,Boavista
86,https://www.zerozero.pt/jogo.php?id=7642974,2020-12-20,Gil Vicente,Benfica
87,https://www.zerozero.pt/jogo.php?id=7642984,2020-12-20,FC Porto,Nacional
88,https://www.zerozero.pt/jogo.php?id=7642980,2020-12-21,Santa Clara,V. Guimarães
89,https://www.zerozero.pt/jogo.php?id=7642978,2020-12-22,SC Braga,Rio Ave
90,https://www.zerozero.pt/jogo.php?id=7642814,2020-12-27,Nacional,CD Tondela
91,https://www.zerozero.pt/jogo.php?id=7642812,2020-12-27,FC Famalicão,Gil Vicente
92,https://www.zerozero.pt/jogo.php?id=7642826,2020-12-27,Farense,Paços de Ferreira
93,https://www.zerozero.pt/jogo.php?id=7642816,2020-12-27,Belenenses SAD,Sporting
94,https://www.zerozero.pt/jogo.php?id=7642828,2020-12-28,Rio Ave,Marítimo
95,https://www.zerozero.pt/jogo.php?id=7642820,2020-12-28,Boavista,SC Braga
96,https://www.zerozero.pt/jogo.php?id=7642818,2020-12-29,Benfica,Portimonense
97,https://www.zerozero.pt/jogo.php?id=7642824,2020-12-29,Moreirense,Santa Clara
98,https://www.zerozero.pt/jogo.php?id=7642822,2020-12-29,V. Guimarães,FC Porto
99,https://www.zerozero.pt/jogo.php?id=7642862,2021-01-02,Sporting,SC Braga
100,https://www.zerozero.pt/jogo.php?id=7642864,2021-01-03,CD Tondela,FC Famalicão
101,https://www.zerozero.pt/jogo.php?id=7642856,2021-01-03,Marítimo,Boavista
102,https://www.zerozero.pt/jogo.php?id=7642850,2021-01-03,Paços de Ferreira,Rio Ave
103,https://www.zerozero.pt/jogo.php?id=7642858,2021-01-03,FC Porto,Moreirense
104,https://www.zerozero.pt/jogo.php?id=7642852,2021-01-04,Santa Clara,Benfica
105,https://www.zerozero.pt/jogo.php?id=7642848,2021-01-04,Gil Vicente,Belenenses SAD
106,https://www.zerozero.pt/jogo.php?id=7642860,2021-01-04,Portimonense,Farense
107,https://www.zerozero.pt/jogo.php?id=7642894,2021-01-07,SC Braga,Marítimo
108,https://www.zerozero.pt/jogo.php?id=7642886,2021-01-08,Nacional,Sporting
109,https://www.zerozero.pt/jogo.php?id=7642900,2021-01-08,Rio Ave,Portimonense
110,https://www.zerozero.pt/jogo.php?id=7642890,2021-01-08,Benfica,CD Tondela
111,https://www.zerozero.pt/jogo.php?id=7642884,2021-01-08,FC Famalicão,FC Porto
112,https://www.zerozero.pt/jogo.php?id=7642896,2021-01-09,Moreirense,V. Guimarães
113,https://www.zerozero.pt/jogo.php?id=7642892,2021-01-09,Boavista,Santa Clara
114,https://www.zerozero.pt/jogo.php?id=7642898,2021-01-10,Farense,Gil Vicente
115,https://www.zerozero.pt/jogo.php?id=7642888,2021-01-10,Belenenses SAD,Paços de Ferreira
116,https://www.zerozero.pt/jogo.php?id=7642916,2021-01-15,Sporting,Rio Ave
117,https://www.zerozero.pt/jogo.php?id=7642912,2021-01-15,FC Porto,Benfica
118,https://www.zerozero.pt/jogo.php?id=7642904,2021-01-16,Paços de Ferreira,SC Braga
119,https://www.zerozero.pt/jogo.php?id=7642918,2021-01-16,CD Tondela,Boavista
120,https://www.zerozero.pt/jogo.php?id=7642906,2021-01-17,Nacional,Moreirense
