,0,0,0,0
0,https://www.zerozero.pt/jogo.php?id=5442767,2018-05-13,V. Setúbal,CD Tondela
1,https://www.zerozero.pt/jogo.php?id=5442766,2018-05-13,Marítimo,Sporting
2,https://www.zerozero.pt/jogo.php?id=5442761,2018-05-13,Feirense,Estoril Praia
3,https://www.zerozero.pt/jogo.php?id=5442760,2018-05-13,Rio Ave,SC Braga
4,https://www.zerozero.pt/jogo.php?id=5442762,2018-05-13,Portimonense,Paços de Ferreira
5,https://www.zerozero.pt/jogo.php?id=5442764,2018-05-13,Benfica,Moreirense
6,https://www.zerozero.pt/jogo.php?id=6067757,2019-05-18,V. Setúbal,Rio Ave
7,https://www.zerozero.pt/jogo.php?id=6067753,2019-05-18,Feirense,CD Aves
8,https://www.zerozero.pt/jogo.php?id=6067759,2019-05-18,Benfica,Santa Clara
9,https://www.zerozero.pt/jogo.php?id=6067761,2019-05-18,FC Porto,Sporting
10,https://www.zerozero.pt/jogo.php?id=6067755,2019-05-19,CD Tondela,GD Chaves
11,https://www.zerozero.pt/jogo.php?id=6067756,2019-05-19,Moreirense,V. Guimarães
12,https://www.zerozero.pt/jogo.php?id=6958808,2020-07-25,Marítimo,FC Famalicão
13,https://www.zerozero.pt/jogo.php?id=6958814,2020-07-25,SC Braga,FC Porto
14,https://www.zerozero.pt/jogo.php?id=6958812,2020-07-25,Benfica,Sporting
15,https://www.zerozero.pt/jogo.php?id=6958816,2020-07-26,Moreirense,CD Tondela
16,https://www.zerozero.pt/jogo.php?id=6958810,2020-07-26,V. Setúbal,Belenenses SAD
17,https://www.zerozero.pt/jogo.php?id=6958809,2020-07-26,Portimonense,CD Aves
